Date Modified,Size,ArXiv Link,Title,Authors
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2401.12971,"Constraining gravity with a new precision $E_G$ estimator using Planck +
  SDSS BOSS","Lukas Wenzl, Rachel Bean, Shi-Fan Chen, Gerrit S. Farren, Mathew S. Madhavacheril et al."
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2403.13709,"New measurements of $E_G$: Testing General Relativity with the Weyl
  potential and galaxy velocities","Nastassia Grimm, Camille Bonvin, Isaac Tutusaus"
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2404.01376,Inconsistency of modified gravity in cosmology,Pablo A. Cano
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2404.01846,Testing Yukawa cosmology at the Milky Way and M31 galactic scales,"Rocco D'Agostino, Kimet Jusufi, Salvatore Capozziello"
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2404.12373,Sound speed as a source of the gravitational field in modified gravity,P. P. Avelino
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2407.01668,"Galaxy clustering in modified gravity from full-physics simulations. I:
  two-point correlation functions","Michael Collier, Sownak Bose, Baojiu Li"
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2408.00362,"Measuring the Speed of Gravity and the Cosmic Expansion with Time Delays
  between Gravity and Light from Binary Neutron Stars","Leonardo Iampieri, Simone Mastrogiovanni, Francesco Pannarale"
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2409.03828,"Signatures of Linearized Gravity in Atom Interferometers: a Simplified
  Computational Framework","Leonardo Badurina, Yufeng Du, Vincent S. H. Lee, Yikun Wang, Kathryn M. Zurek"
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2409.08971,"Constraints on dark energy and modified gravity from the BOSS Full-Shape
  and DESI BAO data","Petter Taule, Marco Marinucci, Giorgia Biselli, Massimo Pietroni, Filippo Vernizzi"
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2410.07281,"Fundamental constants: from measurement to the universe, a window on
  gravitation and cosmology",Jean-Philippe Uzan
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2410.17915,"Cosmology of Quasi-Dilaton Massive Gravity with Non-minimal Kinetic
  Coupling","Sobhan Kazempour, Amin Rezaei Akbarieh, Sichun Sun, Chengye Yu"
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2410.18916,"Parity-violating Gravitational Wave Background Search with a Network of
  Space-borne Triangular Detectors","Ju Chen, Chang Liu, Yun-Long Zhang"
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2410.21243,Cosmological tests of quintessence in quantum gravity,"Sukannya Bhattacharya, Giulia Borghetto, Ameek Malhotra, Susha Parameswaran, Gianmassimo Tasinato et al."
"Oct 27, 2024 at 2:12PM",1.5 mb,https://arxiv.org/abs/2411.01500,"A New Limit on the Graviton Mass from the Convergence Scale of the CMB
  Dipole",Abraham Loeb
